film_id,original_name,cnc_agrement_year,allocine_id,allocine_title,allocine_url
241,Le sang et la boue,2023,300431,Le Sang et la boue,https://www.allocine.fr/film/fichefilm_gen_cfilm=300431.html
242,The owner,2023,292996,The Owner,https://www.allocine.fr/film/fichefilm_gen_cfilm=292996.html
243,La belle de Gaza,2023,311442,La Belle de Gaza,https://www.allocine.fr/film/fichefilm_gen_cfilm=311442.html
244,Almamula,2023,313047,Almamula,https://www.allocine.fr/film/fichefilm_gen_cfilm=313047.html
245,Yannick,2023,315119,Yannick,https://www.allocine.fr/film/fichefilm_gen_cfilm=315119.html
246,The mad dog of Europe,2023,Not found,Not found,Not found
247,Porcheville,2023,1000001262,Fotogenico,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000001262.html
248,Things that you kill,2023,303213,The Things You Kill,https://www.allocine.fr/film/fichefilm_gen_cfilm=303213.html
249,Biodestructors,2023,Not found,Not found,Not found
250,"Germaine Acogny, l'ombre portée",2023,Not found,Not found,Not found
251,Quand je serai grand,2023,187363,"Quand je serai grand, je serai flamenco",https://www.allocine.fr/film/fichefilm_gen_cfilm=187363.html
