mubi_label,english_label,french_label
ICP Award - Best Cinematography,Best Cinematography,Meilleure photographie
ICP Award - Best Director,Best Director,Meilleur réalisateur
ICP Award - Best Documentary,Best Documentary,Meilleur documentaire
ICP Award - Best Editing,Best Editing,Meilleur montage
ICP Award - Best Film,Best Film,Meilleur film
ICP Award - Best Film Opening in 2022,Best Film,Meilleur film
ICP Award - Best First Feature,Best First Film,Meilleur premier film
ICP Award - Best Foreign Language Film,Other,Autre
ICP Award - Best International Film,Other,Autre
ICP Award - Best Lead Actor,Other,Autre
ICP Award - Best Lead Actress,Other,Autre
ICP Award - Best Original Score or Soundtrack,Best Music,Meilleure musique
ICP Award - Best Performance,Other,Autre
ICP Award - Best Screenplay,Best Screenplay,Meilleur scénario
ICP Award - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
ICP Award - Best Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
ICP Award - Most Anticipated of 2016,Other,Autre
IDA Award - Best Feature Documentary,Best Documentary,Meilleur documentaire
IDFA Audience Award,Audience Award,Prix du public
Illy Prize,Other,Autre
IMDbPro Short Film Grand Jury Award,Jury Award,Prix du jury
In Competition,Other,Autre
IndieJunior Award,Other,Autre
Inspiring Voices & Perspectives Feature Film,Other,Autre
INTERFILM Award for Promoting Interreligious Dialogue,Other,Autre
International Actor,Other,Autre
International Actress,Other,Autre
International Amnesty Catalunya Award,Other,Autre
International Animated Feature Film,Best Animated Film,Meilleur film d’animation
International Competition,Other,Autre
International Competition Animated Documentary,Best Documentary,Meilleur documentaire
International Critics' Award (FIPRESCI),Critics Award,Prix de la critique
International Critics' Week Award,Critics Award,Prix de la critique
International Documentary Competition,Best Documentary,Meilleur documentaire
International Documentary Film,Best Documentary,Meilleur documentaire
International Feature Film,Other,Autre
International Feature Film Competition Best Actress [Uluslararası Uzun Metraj Yarışması - En İyi Kadın Oyuncu],Best Actress,Meilleure actrice
International Feature Special Jury Mention,Other,Autre
International Film,Other,Autre
International Film Clubs Award,Other,Autre
International Rigo Mora Award,Other,Autre
International Short Dox Competition,Other,Autre
International Short Film Competition Best Actor,Best Actor,Meilleur acteur
International ShortWork Award,Other,Autre
International Star Award,Other,Autre
International Star Award - Actress,Other,Autre
Invisible Woman Award,Other,Autre
Japanese Film Director,Other,Autre
Jean-Luc Xiberras Award for a First Film,Best First Film,Meilleur premier film
Jerusalem Film & Television Fund - The Jerusalem Development Authority Award for Best Animation Film,Best Animated Film,Meilleur film d’animation
John Dunning Best First Feature Film Award,Best First Film,Meilleur premier film
John Schlesinger Award,Other,Autre
Jonathan Oppenheim Editing Award,Best Editing,Meilleur montage
Jordan Alexander Ressler Screenwriting Award,Best Screenplay,Meilleur scénario
Jordan Ressler Screenwriting Award,Best Screenplay,Meilleur scénario
José Salcedo Award for Best Editing,Best Editing,Meilleur montage
Josephine Baker Award,Other,Autre
Junior Europa Award,Other,Autre
Junior Jury Award - Environment is Quality of Life Prize,Jury Award,Prix du jury
Junior Jury Award for a Short Film,Jury Award,Prix du jury
Jury Award,Jury Award,Prix du jury
Jury Award - Best Animated Short,Best Animated Short Film,Meilleur court métrage d’animation
Jury Award - Best Short Film,Jury Award,Prix du jury
Jury Award (Student),Jury Award,Prix du jury
Jury Award Feature Film,Jury Award,Prix du jury
Jury Distinction,Jury Award,Prix du jury
Jury Distinction \ Special Distinction for Direction\,Best Director,Meilleur réalisateur
Jury Distinction for a Short Film,Best Short Film,Meilleur court métrage
Jury Prize,Jury Award,Prix du jury
Jury Prize - Best Documentary,Jury Award,Prix du jury
Jury Prize for Best Cinematography and Artistic Direction,Best Cinematography,Meilleure photographie
Jury Prize for Best Screenplay,Best Screenplay,Meilleur scénario
Jury Special Award,Special Mention,Mention spéciale
Just Film Award - Best Film,Best Film,Meilleur film
Justice Matters Award,Festival Award,Prix du festival
Karen Morley Award,Festival Award,Prix du festival
Kids Vote - Feature Film (Children's Award),Audience Award,Prix du public
Kirk Douglas Award for Excellence in Film,Festival Award,Prix du festival
Knight MARIMBAS Award,Festival Award,Prix du festival
Label Europa Cinemas,Festival Award,Prix du festival
Label Europa Cinemas - Best Film,Best Film,Meilleur film
LAFCA Award - Best Actress,Best Actress,Meilleure actrice
LAFCA Award - Best Cinematography,Best Cinematography,Meilleure photographie
LAFCA Award - Best Director,Best Director,Meilleur réalisateur
LAFCA Award - Best Documentary/Non-Fiction Film,Best Documentary,Meilleur documentaire
LAFCA Award - Best Editing,Best Editing,Meilleur montage
LAFCA Award - Best Film Not in the English Language,Best Film,Meilleur film
LAFCA Award - Best Foreign Film,Best Foreign Film,Meilleur film étranger
LAFCA Award - Best Music,Best Music,Meilleure musique
LAFCA Award - Best Picture,Best Film,Meilleur film
LAFCA Award - Best Screenplay,Best Screenplay,Meilleur scénario
Lanterna Magica Award,Festival Award,Prix du festival
Laszlo Kovacs Student Award - Golden Tadpole,Audience Award,Prix du public
Lawrence Kasdan Award for Best Narrative Film,Best Fiction,Meilleure fiction
Le prix d'interprétation masculine,Best Actor,Meilleur acteur
Lead Actor - Film,Best Actor,Meilleur acteur
Lead Actor Film,Best Actor,Meilleur acteur
Lead Actor in Film,Best Actor,Meilleur acteur
Lead Actress Film,Best Actress,Meilleure actrice
Leading Actor,Best Actor,Meilleur acteur
Leading Actress,Best Actress,Meilleure actrice
Leitz Cine Discovery Prize,Festival Award,Prix du festival
Leoncino d'Oro Award,Festival Award,Prix du festival
Lia Award in Honor of Lia van Leer for Films Dealing with Jewish Heritage,Festival Award,Prix du festival
Lina Wertmüller Award,Festival Award,Prix du festival
Lion d'argent de la meilleure réalisation,Best Director,Meilleur réalisateur
Lion d'or,Lion d’Or,Lion d’or
Lion of the Future  Luigi De Laurentiis Award for a Debut Film,Best First Film,Meilleur premier film
Lion of the Future - 'Luigi De Laurentiis' Venice Award for a Debut Film,Best First Film,Meilleur premier film
Live Action Short Film (Grand Jury Prize),Best Live-Action,Meilleur film en prises de vues réelles
Live-Action Short Film,Best Live-Action,Meilleur film en prises de vues réelles
Louis Roederer Foundation Rising Star Award,Festival Award,Prix du festival
Louve d’Or,Festival Award,Prix du festival
Louve d'Or - Best Film,Best Film,Meilleur film
Luigi De Laurentiis Award - Best Debut Film,Best First Film,Meilleur premier film
Lumiere Award - Best Documentary,Best Documentary,Meilleur documentaire
Lumiere Award - Most Promising Actress,Best Promising Actress,Meilleur espoir féminin
Luminaries Jury Award,Jury Award,Prix du jury
Lux Audience Award,Audience Award,Prix du public
Lux Award,Festival Award,Prix du festival
Main Competition,Festival Award,Prix du festival
Make & Hair,Best Make-Up,Meilleur maquillage
Make Up & Hair,Best Make-Up,Meilleur maquillage
Make Up and Hair,Best Make-Up,Meilleur maquillage
Makeup & Hair,Best Make-Up,Meilleur maquillage
Makeup and Hairstyling (Variety Artisans Award),Best Make-Up,Meilleur maquillage
Maltin Modern Master Award,Festival Award,Prix du festival
Marcello Mastroianni Award for Best Young Actor,Best Promising Actor,Meilleur espoir masculin
Margot Hielscher Prize,Festival Award,Prix du festival
Marquee Feature (Audience Award),Audience Award,Prix du public
Master of Comedy Award,Best Comedy,Meilleure comédie
Mayor's Prize,Festival Award,Prix du festival
Maysles Brothers Award,Festival Award,Prix du festival
Medien Patent Verwaltung AG Award - Leopards of Tomorrow (International Competition),Festival Award,Prix du festival
Meeting Point Audience Award,Audience Award,Prix du public
Meilleur acteur,Best Actor,Meilleur acteur
Meilleur acteur dans un film dramatique,Best Actor,Meilleur acteur
Meilleur acteur dans un film musical ou comédie,Best Actor,Meilleur acteur
Meilleur acteur dans un second rôle,Best Supporting Actor,Meilleur acteur dans un second rôle
Meilleur court métrage (animation),Best Short Film,Meilleur court métrage
Meilleur court métrage canadien,Best Short Film,Meilleur court métrage
Meilleur espoir féminin,Best Promising Actress,Meilleur espoir féminin
Meilleur espoir masculin,Best Promising Actor,Meilleur espoir masculin
Meilleur film,Best Film,Meilleur film
Meilleur film britannique,Best Regional Film,Meilleur film par région
Meilleur film d'animation,Best Animated Film,Meilleur film d’animation
Meilleur film de court métrage,Best Short Film,Meilleur court métrage
Meilleur film documentaire,Best Documentary,Meilleur documentaire
Meilleur film dramatique,Best Dramatic Film,Meilleur film dramatique
Meilleur film en langue étrangère,Best Foreign Film,Meilleur film étranger
Meilleur film étranger,Best Foreign Film,Meilleur film étranger
Meilleur film musical ou comédie,Best Comedy,Meilleure comédie
Meilleur montage,Best Editing,Meilleur montage
Meilleur Premier Film,Best First Film,Meilleur premier film
Meilleur premier film,Best First Film,Meilleur premier film
Meilleur réalisateur,Best Director,Meilleur réalisateur
Meilleur scénario,Best Screenplay,Meilleur scénario
Meilleur scénario adapté,Best Screenplay,Meilleur scénario
Meilleur scénario original,Best Screenplay,Meilleur scénario
Meilleur scénario originale,Best Screenplay,Meilleur scénario
Meilleur son,Best Sound,Meilleur son
Meilleure actrice,Best Actress,Meilleure actrice
Meilleure actrice dans un film dramatique,Best Actress,Meilleure actrice
Meilleure actrice dans un film musical ou comédie,Best Actress,Meilleure actrice
Meilleure actrice dans un second rôle,Best Supporting Actress,Meilleure actrice dans un second rôle
Meilleure adaptation,Other,Autre
Meilleure interprétation féminine,Best Actress,Meilleure actrice
Meilleure interprétation masculine,Best Actor,Meilleur acteur
Meilleure musique de film,Best Music,Meilleure musique
Meilleure musique originale,Best Music,Meilleure musique
Meilleure photo,Best Cinematography,Meilleure photographie
Meilleure réalisation,Other,Autre
Meilleurs costumes,Best Costume Design,Meilleurs costumes
Meilleurs décors,Other,Autre
Mention Honorable,Other,Autre
Mention Spéciale,Other,Autre
Mephisto 97.6-Publikumspreis,Other,Autre
Miami International Short Film Award,Best Short Film,Meilleur court métrage
Michael Apted Award for Outstanding Directorial Achievement in First-Time Theatrical Feature Film,Best Director,Meilleur réalisateur
Michel d'Ornano Award,Other,Autre
Miglior film straniero,Other,Autre
Miguel Delibes Award - Best Screenplay,Best Screenplay,Meilleur scénario
Miguel Delibes Award for Best Screenplay,Best Screenplay,Meilleur scénario
Miguel Delibes Award for Best Script,Other,Autre
Mill Valley Film Festival Award,Other,Autre
Milos Stehlik Award - Most Promising Filmmaker,Other,Autre
Milos Stehlik Award for Breakthrough Filmmaker,Other,Autre
Milos Stehlik Award for Promising Filmmaker,Other,Autre
Mind the Gap,Other,Autre
Mind the Gap Award,Other,Autre
Mommie Dearest Worst Screen Mom of the Year Award,Other,Autre
Montecito Award,Other,Autre
Most Anticipated of 2016,Other,Autre
Most Anticipated of 2017,Other,Autre
Most Enjoyable Film (Theatre Owners),Other,Autre
Most Popular Actor,Other,Autre
Most Popular Feature Film,Other,Autre
Most Popular International Documentary Film,Best Documentary,Meilleur documentaire
Most Popular International Documentary Film - Documentary,Best Documentary,Meilleur documentaire
Most Popular International Feature,Other,Autre
Most Promising Actor,Best Promising Actor,Meilleur espoir masculin
Most Promising Actor (Meilleur jeune espoir masculin),Best Promising Actor,Meilleur espoir masculin
Most Promising Actor (Meilleure révélation masculine),Best Promising Actor,Meilleur espoir masculin
Most Promising Actress,Best Promising Actress,Meilleur espoir féminin
Most Promising Actress (Meilleur espoir féminin),Best Promising Actress,Meilleur espoir féminin
Most Promising Actress (Meilleur jeune espoir féminin),Best Promising Actress,Meilleur espoir féminin
Most Promising Actress (Meilleure révélation féminine),Best Promising Actress,Meilleur espoir féminin
Most Promising Filmmaker,Other,Autre
Most Promising Filmmaker (Milos Stehlik Award),Other,Autre
Most Promising New Actor,Best Promising Actor,Meilleur espoir masculin
Most Promising New Actress,Best Promising Actress,Meilleur espoir féminin
Most Promising Performer,Best Promising Actor,Meilleur espoir masculin
Most Promising Young Actor,Best Promising Actor,Meilleur espoir masculin
Most Promising Young Actress,Best Promising Actress,Meilleur espoir féminin
Most Promising Young Actress (Meilleur espoir féminin),Best Promising Actress,Meilleur espoir féminin
Most Valuable Documentary of the Year,Best Documentary,Meilleur documentaire
Most Valuable Film of the Year,Other,Autre
Movie Everyone Is Wrong About,Other,Autre
Movie of the Year,Other,Autre
Movie of the Year Award,Other,Autre
Movies of the Year,Other,Autre
MovieZone Award,Other,Autre
MVFF Award,Other,Autre
MVFF Award Lifetime Achievement,Lifetime Achievement,Prix d’honneur
MVFF Overall Audience Favorite,Other,Autre
Narrative Audience Award,Best Fiction,Meilleure fiction
Narrative Competition - Special Jury Award,Best Fiction,Meilleure fiction
Narrative Feature,Best Fiction,Meilleure fiction
Narrative Feature (Audience Award),Best Fiction,Meilleure fiction
Narrative Feature Competition Winner (Jury Prize),Best Fiction,Meilleure fiction
Narrative Short Film,Best Short Film,Meilleur court métrage
Narrative Special Presentation (Audience Choice Award),Best Fiction,Meilleure fiction
National Film Registry,Best Fiction,Meilleure fiction
Nazareno Taddei Award,Best Fiction,Meilleure fiction
NBR Award - Best Directorial Debut,Best Director,Meilleur réalisateur
NBR Award - Best Ensemble,Best Ensemble,Meilleure distribution
NBR Award - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
NBR Award - Best International Film,Best International Film,Meilleur film international
NBR Award - Top 5 Foreign Language Film,Best Foreign Film,Meilleur film étranger
NBR Award - Top 5 Foreign Language Films,Best Foreign Film,Meilleur film étranger
NBR Award - Top Films,Best Film,Meilleur film
NBR Award - Top Five Documentary,Best Documentary,Meilleur documentaire
NBR Award - Top Five Foreign Language Films,Best Foreign Film,Meilleur film étranger
NBR Award - Top Five International Films,Best International Film,Meilleur film international
NBR Award - Top Ten Films,Top 10 Films,Top 10 films
NBR Award Top Five International Films,Best International Film,Meilleur film international
NBR Freedom of Expression,Freedom/Peace Price,Prix pour la liberté/paix
NBR Freedom of Expression Award,Freedom/Peace Price,Prix pour la liberté/paix
NBR Freedom of Expression Awards,Freedom/Peace Price,Prix pour la liberté/paix
NBR Icon Award,Other,Autre
NDR Young Talent Award,Best Promising Actor,Meilleur espoir masculin
Nechama Rivilin Award for Best International Film,Best International Film,Meilleur film international
New Auteurs Grand Jury Award,Jury Award,Prix du jury
New Generation Award,Other,Autre
New Talent Award,Other,Autre
New Visions,Other,Autre
New Voices New Visions Award,Other,Autre
New Voices/New Visions Grand Jury Prize,Jury Award,Prix du jury
New Voices/New Visions Special Jury Mention,Other,Autre
New Voices/New Visions Special Jury Prize,Jury Award,Prix du jury
New Waves Award - Best Film,Best Film,Meilleur film
New Waves Section Best Film,Best Film,Meilleur film
New Waves Special Prize,Jury Award,Prix du jury
Newcomer of the Year,Other,Autre
Next,Festival Award,Prix du festival
Nigel Moore Award,Festival Award,Prix du festival
Nigel Moore Award for Youth Programming,Other,Autre
Nominee CFCA Award -Best Foreign Language Film,Other,Autre
Norwegian Film Critics Award,Critics Award,Prix de la critique
Norwegian Film Critics’ Award,Critics Award,Prix de la critique
NSFC Award - Best Actor,Best Actor,Meilleur acteur
NSFC Award - Best Actress,Best Actress,Meilleure actrice
NSFC Award - Best Cinematography,Best Cinematography,Meilleure photographie
NSFC Award - Best Director,Best Director,Meilleur réalisateur
NSFC Award - Best Film,Best Film,Meilleur film
NSFC Award - Best Film Not in the English Language,Best Film,Meilleur film
NSFC Award - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
NSFC Award - Best Foreign-Language Film,Best Foreign Film,Meilleur film étranger
NSFC Award - Best Non-Fiction Film,Other,Autre
NSFC Award - Best Screenplay,Best Screenplay,Meilleur scénario
NSFC Award - Best Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
NSFC Award - Foreign Language Film,Best Foreign Film,Meilleur film étranger
nternational New Talent Competition - Grand Prize,Best Film,Meilleur film
NYFCC Award - Best Film,Best Film,Meilleur film
NYFCC Award - Best First Film,Best First Film,Meilleur premier film
NYFCC Award - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
NYFCC Award - Best Non-Fiction Film,Other,Autre
NYFCO Award - Best Debut as Director,Best First Film,Meilleur premier film
NYFCO Award - Best Foreign Language Film,Best Foreign Film,Meilleur film étranger
NYFCO Award - Top Films of the Year,Best Film,Meilleur film
Ocaña Award,Festival Award,Prix du festival
OCAÑA Award to Freedom,Freedom/Peace Price,Prix pour la liberté/paix
Oedipus Re Award,Festival Award,Prix du festival
Official Competition,Jury Award,Prix du jury
Official Competition Special Jury Prize,Jury Award,Prix du jury
Official Fantàstic Selection Best Screenplay,Best Screenplay,Meilleur scénario
Official Section Audience Award,Audience Award,Prix du public
Official Selection,Jury Award,Prix du jury
Olhar Award – Best Short Film,Best Short Film,Meilleur court métrage
On Transmission,Other,Autre
One Future Prize,Other,Autre
Open Zone,Festival Award,Prix du festival
Original Music,Best Music,Meilleure musique
Original Score,Best Music,Meilleure musique
Original Screenplay,Best Screenplay,Meilleur scénario
Original Screenplay Award,Best Screenplay,Meilleur scénario
Orizzonti Award for Best Actor,Best Actor,Meilleur acteur
Orizzonti Award for Best Actress,Best Actress,Meilleure actrice
Orizzonti Award for Best Director,Best Director,Meilleur réalisateur
Orizzonti Award for Best Film (Orizzonti),Best Film,Meilleur film
Ornano-Valenti Prize,Festival Award,Prix du festival
Ours d'argent de la meilleure réalisation,Best Director,Meilleur réalisateur
Ours d'argent du meilleur scénario,Best Screenplay,Meilleur scénario
Ours d'or,Festival Award,Prix du festival
Out of Competition,Other,Autre
Out-Look Competition,Other,Autre
Outstanding Achievement in Art Direction,Best Production Design,Meilleure direction artistique
Outstanding Achievement in Cinema Award,Other,Autre
Outstanding Achievement in Cinematography,Best Cinematography,Meilleure photographie
Outstanding Achievement in Craft,Best Technical Achievement,Meilleure contribution technique
Outstanding Achievement in Film Editing,Best Editing,Meilleur montage
Outstanding Achievement in Lighting Direction,Best Lighting,Meilleure lumière
Outstanding Achievement in Music,Best Music,Meilleure musique
Outstanding Achievement in Sound Recording,Best Sound,Meilleur son
Outstanding Action Performance by a Stunt Ensemble,Best Ensemble,Meilleure distribution
Outstanding Action Performance by a Stunt Ensemble in a Film,Best Ensemble,Meilleure distribution
Outstanding Action Performance by a Stunt Ensemble in a Motion Picture,Best Ensemble,Meilleure distribution
Outstanding Actor,Other,Autre
Outstanding Actress,Other,Autre
Outstanding Breakthrough Performance,Other,Autre
"Outstanding Breakthrough Performance, Female",Other,Autre
"Outstanding Breakthrough Performance, Male",Other,Autre
"Outstanding Breakthrough, Female",Other,Autre
"Outstanding Breakthrough, Male",Other,Autre
Outstanding British Film of the Year,Best Regional Film,Meilleur film par région
Outstanding Cast in a Motion Picture,Best Ensemble,Meilleure distribution
Outstanding Cinematography,Best Cinematography,Meilleure photographie
Outstanding Costume Design,Best Costume Design,Meilleurs costumes
"Outstanding Debut by a British Writer, Director or Producer",Best First Film,Meilleur premier film
"Outstanding Debut by a British Writer, Director, or Producer",Best First Film,Meilleur premier film
Outstanding Directing – Feature Film,Other,Autre
Outstanding Directing – First-Time Feature Film,Other,Autre
Outstanding Director,Best Director,Meilleur réalisateur
Outstanding Director of the Year,Best Director,Meilleur réalisateur
Outstanding Director of the Year Award,Best Director,Meilleur réalisateur
Outstanding Directorial Achievement in Documentary,Best Director,Meilleur réalisateur
Outstanding Directorial Achievement in Feature Film,Best Director,Meilleur réalisateur
Outstanding Directorial Achievement in First-Time Feature Film,Best Director,Meilleur réalisateur
Outstanding Directorial Achievement in Theatrical Feature Film,Best Director,Meilleur réalisateur
Outstanding Directorial Achievement of a First-Time Feature Film,Best Director,Meilleur réalisateur
Outstanding Directorial Achievement of a First-Time Feature Film Director,Best Director,Meilleur réalisateur
Outstanding Directorial Achievement of a First-Time Theatrical Feature Film Director,Best Director,Meilleur réalisateur
Outstanding Directors of the Year,Best Director,Meilleur réalisateur
Outstanding Documentary,Best Documentary,Meilleur documentaire
Outstanding Documentary Feature,Best Documentary,Meilleur documentaire
Outstanding Editing,Best Editing,Meilleur montage
Outstanding Emerging Director,Other,Autre
Outstanding Ensemble,Best Ensemble,Meilleure distribution
Outstanding Feature Film,Other,Autre
Outstanding Film,Other,Autre
Outstanding First Screenplay,Best Screenplay,Meilleur scénario
Outstanding Foreign Film,Other,Autre
Outstanding Foreign Language Film,Other,Autre
Outstanding Hairstyling & Makeup,Best Make-Up,Meilleur maquillage
Outstanding Independent Short Film,Best Short Film,Meilleur court métrage
Outstanding International Feature Film,Other,Autre
Outstanding International Film,Other,Autre
Outstanding Lead Performance,Other,Autre
Outstanding Male Performance (Montreal Award),Best Actor,Meilleur acteur
Outstanding Original Score,Best Music,Meilleure musique
Outstanding Original Song,Other,Autre
Outstanding Original Soundtrack,Best Music,Meilleure musique
Outstanding Performance - Voice,Other,Autre
Outstanding Performance – Gender Non-Conforming or Female,Other,Autre
Outstanding Performance by a Cast in a Motion Picture,Best Ensemble,Meilleure distribution
Outstanding Performance by a Female Actor in a Leading Role,Other,Autre
Outstanding Performance by a Female Actor in a Supporting Role,Other,Autre
Outstanding Performance by a Male Actor in a Leading Role,Other,Autre
Outstanding Performance by a Male Actor in a Supporting Role,Other,Autre
Outstanding Performance by a Stunt Ensemble in a Motion Picture,Best Ensemble,Meilleure distribution
Outstanding Performance by an Actor in a Leading Role,Other,Autre
Outstanding Performance by an Actress in a Leading Role,Other,Autre
Outstanding Performance by an Actress in a Supporting Role,Other,Autre
Outstanding Performer of the Year Award,Other,Autre
Outstanding Production Design,Best Production Design,Meilleure direction artistique
Outstanding Score,Best Music,Meilleure musique
Outstanding Screenplay,Best Screenplay,Meilleur scénario
"Outstanding Screenplay, Adapted or Original",Best Screenplay,Meilleur scénario
Outstanding Short Film,Best Short Film,Meilleur court métrage
Outstanding Songwriting Work,Best Screenplay,Meilleur scénario
Outstanding Soundtrack,Best Music,Meilleure musique
Outstanding Supporting Actor,Best Supporting Actor,Meilleur acteur dans un second rôle
Outstanding Supporting Actress,Best Supporting Actress,Meilleure actrice dans un second rôle
"Outstanding Supporting Actress, Motion Picture",Best Supporting Actress,Meilleure actrice dans un second rôle
Outstanding Supporting Performance,Other,Autre
Outstanding Voice Performance,Other,Autre
Outstanding Voice Perfornance,Other,Autre
Overall Audience Choice Award,Other,Autre
Overall Audience Favorite,Other,Autre
Overall Favorite (Audience Award),Audience Award,Prix du public
Overall Favorite Audience Award,Audience Award,Prix du public
P'tits Loups Award,Other,Autre
Palm Dog,Other,Autre
Palm Dog - Jury Prize,Jury Award,Prix du jury
Palme d'Or,Other,Autre
Palme de Whiskers,Other,Autre
Panavision Grand Jury Award - Best North American Short,Jury Award,Prix du jury
Panorama,Other,Autre
Panorama (Prize of the Ecumenical Jury),Other,Autre
Pare Lorentz Award,Other,Autre
Peace Award (International),Freedom/Peace Price,Prix pour la liberté/paix
Peace Film Award,Freedom/Peace Price,Prix pour la liberté/paix
People's Choice Award,Audience Award,Prix du public
People's Choice Award	- Best of Fest - Best Film,Best Film,Meilleur film
People's Choice Award - Best Actor,Best Actor,Meilleur acteur
People's Choice Award - Documentary,Best Documentary,Meilleur documentaire
"People's Voice - Advertising, Media & PR",Other,Autre
People's Voice - Video,Other,Autre
Performance by an Actor,Best Actor,Meilleur acteur
Performance by an Actor in a Leading Role,Best Actor,Meilleur acteur
Performance by an Actor in a Supporting Role,Best Supporting Actor,Meilleur acteur dans un second rôle
Performance by an Actress in a Leading Role,Best Actress,Meilleure actrice
Performance by an Actress in a Supporting Role,Best Supporting Actor,Meilleure actrice dans un second rôle
Performance in a Leading Role,Best Actor,Meilleur acteur
Performance in a Supporting Role,Best Supporting Actor,Meilleur acteur dans un second rôle
Perlak,Other,Autre
Picture of the Year,Best Film,Meilleur film
Pilar Miró Award - Best New Director,Best Director,Meilleur réalisateur
Pilar Miró Award for Best New Director,Best Director,Meilleur réalisateur
Pioneering Spirit,Freedom/Peace Price,Prix pour la liberté/paix
Pioneering Spirit Award,Freedom/Peace Price,Prix pour la liberté/paix
Platform,Other,Autre
Platinum Ribbon,Festival Award,Prix du festival
Politiken,Festival Award,Prix du festival
Politiken's Audience Award,Audience Award,Prix du public
Premio CinemaSarà,Festival Award,Prix du festival
Premio Puma Competencia Internacional Best Film,Best Film,Meilleur film
Premio Únete,Festival Award,Prix du festival
Prix C.S.T. de l'Artiste-Technicien,Best Technical Achievement,Meilleure contribution technique
Prix d'interprétation féminine,Best Actress,Meilleure actrice
Prix d'interprétation masculine,Best Actor,Meilleur acteur
Prix d'Ornano-Valenti,Festival Award,Prix du festival
Prix de la Meilleure Musique Originale,Best Music,Meilleure musique
Prix de la mise en scène,Best Screenplay,Meilleur scénario
Prix des Lyceens,Audience Award,Prix du jury
Prix des P'tits Loups,Audience Award,Prix du jury
Prix du Jury,Jury Award,Prix du jury
Prix du meilleur film,Best Film,Meilleur film
Prix du meilleur film (Coquille d'Or),Best Film,Meilleur film
Prix du Meilleur Premier Film,Best First Film,Meilleur premier film
Prix du meilleur scénario,Best Screenplay,Meilleur scénario
Prix du public,Audience Award,Prix du public
Prix du scénario,Best Screenplay,Meilleur scénario
Prix Etudiant,Audience Award,Prix du public
Prix FIPRESCI,Festival Award,Prix du festival
Prix Jean Vigo (Best Feature),Festival Award,Prix du festival
Prix Platform,Festival Award,Prix du festival
Prix SACD (Directors' Fortnight),Festival Award,Prix du festival
Prix spécial du jury,Jury Award,Prix du jury
Prix Un Certain Regard,Other,Autre
Prix Zonta Club Locarno - Semaine de la critique,Critics Award,Prix de la critique
Prize of the Ecumenical Jury,Jury Award,Prix du jury
Prize of the Ecumenical Jury - Competition,Jury Award,Prix du jury
Prize of the Guild of German Art House Cinemas,Festival Award,Prix du festival
Prize of the Youth Jury,Audience Award,Prix du public
Procirep Short Film Producer Award (National Competition),Best Short Film,Meilleur court métrage
Producer of the Year,Best Production Design,Meilleure direction artistique
Producers of the Year,Best Production Design,Meilleure direction artistique
Production Design,Best Production Design,Meilleure direction artistique
Programmers’ Award – Narrative Feature,Best Fiction,Meilleure fiction
Propaganda Nights Award,Festival Award,Prix du festival
Publikumspreis der Filmkunstmesse,Festival Award,Prix du festival
Puma de Plata for Best Director,Best Director,Meilleur réalisateur
Q Hugo Award,Festival Award,Prix du festival
Queer Lion,Other,Autre
Queer Palm,Other,Autre
Quinzaine des Réalisateurs,Festival Award,Prix du festival
Rambal Award,Festival Award,Prix du festival
Ray of Sunshine Award,Festival Award,Prix du festival
"Reader Jury of the ""Berliner Morgenpost""",Audience Award,Prix du public
Reader Jury of the Berliner Morgenpost,Audience Award,Prix du public
Readers,Audience Award,Prix du public
Readers; Best Foreign Film,Best Foreign Film,Meilleur film étranger
Readers' Best Foreign Director,Audience Award,Prix du public
Readers’ Best Foreign Director it-feels-so-good,Audience Award,Prix du public
Readers' Best Foreign Film,Best Foreign Film,Meilleur film étranger
Readers’ Best Foreign Film,Best Foreign Film,Meilleur film étranger
Readers' Best Japanese Director,Audience Award,Prix du public
Readers' Best Japanese Film,Best Regional Film,Meilleur film par région
Readers' Choice Award - Best Foreign Film,Best Foreign Film,Meilleur film étranger
Readers' Foreign Film Director,Best Foreign Film,Meilleur film étranger
Rendez-vous with…,Festival Award,Prix du festival
Rene Rodriguez Critics Award,Critics Award,Prix de la critique
Representation in Genre Film,Other,Autre
Retrospective,Special Mention,Mention spéciale
Retueyos - Best Film,Best Film,Meilleur film
Ribera de Duero Award for Best Director,Best Director,Meilleur réalisateur
Ribera del Duero Award - Best Director,Best Director,Meilleur réalisateur
Rigo Mora International Award for Animated Short Film,Best Animated Short Film,Meilleur court métrage d’animation
Rising Star,Other,Autre
Rising Star Award,Other,Autre
Robert Altman Award,Festival Award,Prix du festival
Roger Ebert Award,Festival Award,Prix du festival
Roger's People's Choice Award (Audience Award),Audience Award,Prix du public
Rogers Award - Best Canadian Film,Best Regional Film,Meilleur film par région
RTBF TV Prize - Best Film,Best Film,Meilleur film
SACD Award,Festival Award,Prix du festival
SACD Prize,Festival Award,Prix du festival
SACD Prize (Director's Fortnight),Festival Award,Prix du festival
SACD Prize (Directors' Fortnight),Festival Award,Prix du festival
